id,nome,email,data_nascimento,cpf,telefone,salario,ativo,ultima_compra,categoria_cliente,observacoes
6191,Breno Costela,nogueiraluiza@example.com,1967-07-22,231.590.876-03,+55 84 7455-1953,22817.28,False,23/11/2024,,
6192,Dr. Cauã da Rosa,camaramarcos-vinicius@example.org,1998-06-18,157.438.960-20,(051) 9354 2743,6285.19,,,,
6193,Dr. Gabriel Camargo,luisa25@example.org,2004-12-15,713.425.869-64,,14889.36,não,21/01/2024,prata,
6194,Augusto Moreira,borgesana-vitoria@example.net,1999-06-16,851.204.639-24,+55 84 8295 4346,6108.82,True,01/01/2025,diamante,
6195,Yago Leão,bcastro@example.com,1974-06-28,098.627.415-11,+55 11 1865-2594,24455.83,False,13/11/2024,,Cum possimus sequi sint sit fugiat libero eius.
6196,Kevin Rezende,ana-vitoriavasconcelos@example.net,1977-11-14,061.974.358-10,0500-881-6053,3478.24,não,,ouro,Ex alias minima quam quisquam illum quas dolorum.
6197,Sr. João Miguel Sá,isis42@example.org,1958-03-08,015.928.673-59,0900 964 3175,10419.73,True,11/02/2025,ouro,
6198,Matteo Silva,qmoraes@example.org,1944-10-01,657.203.498-47,+55 (084) 4034-3095,8324.56,,30/06/2023,prata,Dicta quae quibusdam voluptatum ipsam nihil quo odio.
6199,Oliver Nunes,maria-fernandabarbosa@example.org,2004-12-07,841.973.506-00,,14633.54,True,14/06/2024,prata,Sapiente corporis vel rem id minima iure ullam.
6200,Maria Sophia Vasconcelos,elisa27@example.com,1965-09-17,543.721.609-25,+55 31 3138 6522,6415.63,True,13/05/2025,bronze,
6201,Luísa Cavalcanti,costelanina@example.net,1992-05-19,360.814.527-35,(061) 0246-2541,10227.98,não,12/12/2023,diamante,
6202,Ana Liz Monteiro,rodriguesenzo@example.net,1948-01-10,036.258.941-06,11 0709-6439,7095.56,sim,02/10/2023,ouro,
6203,Breno Pastor,ravi71@example.com,1975-08-14,00000000000,+55 51 6256 9104,16475.04,,12/11/2023,,Rerum dolorum quae adipisci omnis ad necessitatibus possimus.
6204,Ana Liz da Costa,joao84@example.org,2000-01-30,689.215.307-03,+55 41 4875-2495,,True,25/06/2023,diamante,
6205,Srta. Clara Cirino,sduarte@example.net,1967-10-16,653.892.147-73,+55 11 7509 8836,20015.44,sim,10/08/2023,prata,Aperiam praesentium eveniet doloremque hic quaerat occaecati.
6206,Vicente Cunha,nunesalicia@example.org,1953-06-10,798.520.163-77,(041) 1383 7276,1847.49,True,08/09/2024,,Nihil laudantium delectus illo distinctio consectetur quae.
6207,Srta. Esther Alves,nalbuquerque@example.com,1963-03-28,918.675.340-10,+55 (011) 7843 8553,12441.83,sim,,ouro,Deleniti neque placeat ipsam iusto nemo perspiciatis corrupti.
6208,,ana-vitoria19@example.net,1994-03-10,276.039.485-92,+55 (081) 0840-7946,21715.31,,08/08/2023,bronze,Molestiae voluptas placeat accusamus aliquam tempora provident ullam ea.
6209,Caleb Vieira,eduardapimenta@example.net,1991-04-06,562.430.879-56,0500-481-2501,10122.08,False,01/02/2025,prata,Qui temporibus alias esse officiis laboriosam natus.
6210,Bruno Freitas,maria-helenaalves@example.net,1958-08-18,904.728.536-00,(021) 4939-9665,14529.09,True,30/04/2024,bronze,
6211,Julia Martins,fariaspietro@example.net,1999-08-08,530.821.964-89,21 2551 4490,23723.05,não,12/08/2023,diamante,
6212,Caio Fernandes,bruna27@example.org,1970-09-18,00000000000,0900-651-2946,,True,09/07/2024,prata,Perspiciatis alias exercitationem dolore voluptate architecto non est adipisci.
6213,Melissa Moraes,gcorreia@example.net,1952-08-11,259.643.870-47,,6096.57,False,18/02/2025,diamante,
6214,João Vitor Souza,moreirabeatriz@example.org,1969-04-12,234.706.819-96,+55 (021) 4085 5950,18444.61,,15/02/2025,bronze,
6215,Gabriel Fogaça,henry-gabrielda-cunha@example.net,1982-03-05,945.601.372-34,(081) 2769-5362,19722.27,sim,,bronze,
6216,Dr. Bryan da Luz,theocosta@example.net,2006-11-25,00000000000,+55 (051) 2502-7591,8277.8,não,10/10/2023,bronze,Quibusdam optio nesciunt velit ipsum.
6217,Srta. Isabela Andrade,camposnina@example.com,1948-04-26,903.825.471-79,+55 (021) 8351 0216,23326.68,True,18/09/2024,prata,
6218,Thomas Oliveira,pachecoandre@example.org,2003-01-10,412.087.359-50,41 9508-3479,2214.67,sim,18/06/2024,bronze,Iusto dignissimos atque dignissimos numquam tenetur voluptatibus repudiandae libero iste.
6219,Dr. Luiz Henrique Nogueira,machadojoao-felipe@example.com,1971-11-20,308.241.756-62,(081) 6046 8446,8071.18,True,12/01/2025,ouro,
6220,Maria Flor Ribeiro,luiz-felipemelo@example.org,2004-04-27,817.536.940-00,31 7498 8405,1936.09,False,09/10/2024,bronze,
6221,Ravi Silva,costabianca@example.org,1960-08-11,829.417.560-94,+55 51 6236 6837,10960.94,sim,08/04/2024,,
6222,Brayan Sales,carolinaandrade@example.org,1972-02-27,102.645.839-06,(071) 8488-4494,1242.97,False,18/02/2025,diamante,
6223,Clarice da Paz,gustavocasa-grande@example.org,2003-08-19,047.819.532-04,+55 71 7237 0972,21733.64,,25/03/2024,,
6224,Otto Novais,mendoncafernanda@example.com,2000-11-28,752.801.436-26,+55 (084) 4826-1459,14111.22,False,18/02/2024,prata,
6225,Brayan Ferreira,gabriela45@example.org,2000-12-27,671.524.803-62,71 4353-0153,18513.17,não,17/01/2024,,
6226,Sophia Souza,pastormaite@example.com,1994-02-25,176.309.824-96,+55 (021) 9899-4790,20396.94,,,,Fuga praesentium culpa impedit eligendi ipsa.
6227,Sr. Lorenzo Vargas,enzo-gabrielcunha@example.net,1959-04-25,156.947.830-93,31 8888 2514,15891.37,True,18/11/2024,ouro,Itaque consequuntur quam ab reiciendis dolore pariatur tempore.
6228,Yan da Cruz,fariasstephany@example.com,1959-12-07,415.387.269-55,41 4530 9764,13014.96,False,27/02/2024,prata,
6229,Dr. José Pedro Montenegro,mateusmartins@example.org,1957-03-07,572.390.648-83,+55 21 9628 5432,,False,23/07/2024,ouro,
6230,Srta. Isabella Cunha,cavalcantemariane@example.com,1972-08-23,017.286.349-03,+55 (051) 4051 4663,24842.33,,31/07/2023,diamante,
6231,Bruno Souza,barrosanna-liz@example.org,1977-09-19,512.369.078-68,,22061.0,True,05/12/2024,ouro,
6232,Stella Barros,liz10@example.org,1949-04-25,352.147.690-16,+55 51 1330 0202,15529.91,False,10/10/2024,,
6233,Matteo Novaes,das-nevesvicente@example.org,1953-07-16,627.410.958-76,(041) 0475-2105,,False,08/07/2023,bronze,Atque placeat sapiente similique.
6234,Carolina Lopes,cecilia18@example.com,1956-07-19,834.625.710-44,,7473.52,,10/09/2024,,Illum asperiores quod itaque id consequuntur.
6235,Thiago Siqueira,melinasiqueira@example.com,2001-08-14,00000000000,(051) 0045 4608,19013.65,não,07/10/2023,bronze,Error autem dolores tempore magnam.
6236,Ana Luiza Machado,olivia04@example.net,1956-03-20,298.457.361-73,81 1955 2302,16377.9,não,25/08/2023,diamante,Reiciendis pariatur vel facere aliquid animi blanditiis.
6237,Maria Flor Rodrigues,japarecida@example.net,1996-07-22,831.294.607-13,+55 61 0154-9832,21188.48,False,31/07/2024,ouro,Natus perferendis eius sint.
6238,Heloísa das Neves,manuella89@example.com,1988-04-01,084.762.513-35,+55 (011) 6292-1301,1954.65,sim,17/03/2024,,
6239,Srta. Sarah Martins,meloliz@example.net,1977-12-26,236.947.015-16,(061) 4870-8687,15102.69,sim,14/03/2025,diamante,
6240,Dr. Paulo Garcia,vieiraisaque@example.org,1997-07-31,926.351.840-89,+55 (061) 2496 3446,20711.54,,,bronze,
6241,Liz Sousa,ana-beatriz02@example.com,1987-09-26,096.412.753-99,(051) 4529-9914,18400.87,sim,,bronze,
6242,Alana Peixoto,joao-lucas97@example.org,1993-08-16,406.538.279-38,(021) 7707-3488,17532.08,False,27/02/2024,diamante,
6243,,ocavalcanti@example.com,1970-09-26,259.103.746-99,(071) 1091 3727,23537.81,True,14/04/2024,ouro,
6244,Ana Carolina da Mata,aylla63@example.com,1948-11-03,856.290.134-24,+55 (081) 1256 8125,21275.79,True,18/05/2024,,
6245,Srta. Jade Sales,lucas-gabriel18@example.net,1962-04-30,596.813.027-02,31 7042 0802,11494.89,não,,ouro,
6246,Anthony Gabriel Abreu,cavalcantimaria-alice@example.net,1989-09-01,481.065.273-44,,18248.38,True,04/10/2023,bronze,
6247,Aurora Gonçalves,da-rosaenzo-gabriel@example.com,1993-06-05,047.253.619-25,,,sim,16/09/2024,prata,Et id eum sit harum assumenda deserunt perferendis deleniti minus.
6248,Alexia Sampaio,gmoraes@example.net,1973-07-31,650.247.193-52,+55 21 6477 3314,18722.99,,30/11/2024,prata,Ratione dolorem repudiandae adipisci alias eligendi architecto quod ipsam totam sed.
6249,Raul Rios,davi-luccaalbuquerque@example.com,1998-11-18,436.812.907-50,+55 84 5089 1512,1489.84,,14/12/2024,prata,Quis tempore eum possimus.
6250,Sra. Olívia Araújo,ramoscarolina@example.org,1982-03-31,354.790.126-06,+55 (081) 2635-8936,16066.04,não,29/12/2023,,Possimus quo minus quae illo facilis ipsa.
6251,Davi Miguel Rocha,jose-miguel25@example.net,1945-07-08,325.069.184-42,+55 (061) 1764 6536,4056.09,,14/12/2023,,Beatae nesciunt quae aut alias voluptas nostrum.
6252,Heitor Costa,ana-luiza10@example.net,1989-09-04,00000000000,81 4721 8281,10122.64,,03/01/2024,,Ipsum dolorum culpa quidem commodi ipsum modi a nobis magnam.
6253,Manuella Novaes,emanuelly99@example.com,1982-10-08,216.709.538-40,+55 61 7947 9702,,sim,29/06/2024,ouro,Animi a illo nesciunt molestias facere praesentium totam.
6254,Miguel Ribeiro,abreulorena@example.net,1972-01-14,506.243.918-33,+55 (071) 9519-3200,19744.44,sim,21/12/2023,bronze,Atque aperiam molestiae aliquid pariatur accusamus.
6255,João Guilherme Macedo,juanteixeira@example.com,1993-04-30,924.137.560-43,(084) 4472 1344,18482.39,não,01/07/2023,,Nisi non harum exercitationem aliquam maxime doloribus nisi.
6256,Laís Cirino,pabreu@example.net,1950-11-12,201.476.389-50,+55 11 7732-5283,12245.64,não,03/03/2025,bronze,Numquam autem deserunt eos laudantium expedita tempore excepturi quidem omnis.
6257,Luigi Pimenta,joao-guilherme23@example.net,1999-08-12,00000000000,(031) 0069 2426,9829.54,False,28/10/2024,diamante,
6258,Maria Eduarda da Mota,emanuelly57@example.net,1982-07-10,186.092.734-31,(051) 4849-8673,16193.56,False,,prata,
6259,Carolina Siqueira,manuellanovais@example.net,1978-11-08,201.746.958-02,+55 (031) 4404 3288,16404.97,,02/06/2023,bronze,Ipsa libero iste maxime incidunt nobis officiis dignissimos unde.
6260,Srta. Jade Rios,vjesus@example.org,1972-07-09,00000000000,+55 (071) 8018-7556,24270.59,sim,12/02/2024,bronze,Eligendi in doloremque ullam repellendus explicabo corrupti.
6261,Otto Aparecida,castrovitor@example.org,1958-01-25,485.062.379-47,(051) 3779-1939,23869.17,,11/01/2025,ouro,
6262,Ana Carolina Carvalho,barbosavitor-hugo@example.com,1976-11-01,00000000000,+55 61 4262-4658,24483.09,True,12/10/2024,ouro,
6263,Luiz Fernando Siqueira,joaquim48@example.org,1969-03-29,917.506.248-85,+55 (021) 8602 2699,15642.29,sim,03/11/2024,prata,Dolore repudiandae natus tenetur laborum veniam.
6264,Nina da Paz,danterodrigues@example.org,1953-08-20,425.371.096-43,,21001.36,True,15/03/2025,bronze,
6265,Joaquim da Mata,milena81@example.net,1981-08-17,268.749.150-02,+55 84 8378-1727,10943.25,,08/04/2024,diamante,
6266,Maria Flor Farias,usousa@example.net,1945-02-16,296.340.718-13,61 5043 2066,10191.16,,24/03/2025,,Corporis dolores laboriosam fugit necessitatibus quo beatae inventore magnam dolore.
6267,Ana Júlia Ribeiro,diogocamara@example.org,1971-03-02,287.956.031-40,84 1910 6184,23708.66,não,07/11/2023,bronze,
6268,Luana Cassiano,ana-juliacardoso@example.net,1995-06-04,429.670.813-96,+55 51 6914 6468,7497.2,True,,ouro,
6269,Ana Carolina Barros,diogomendonca@example.org,1980-10-13,806.172.453-71,+55 (031) 0397 6908,23647.27,True,19/04/2025,,Corporis nemo illo sed eius temporibus quaerat unde.
6270,Sr. Enrico Oliveira,rmoreira@example.net,2006-01-17,056.741.923-16,(081) 7014-7061,9982.86,,23/06/2024,diamante,
6271,Kamilly Brito,nicolearagao@example.net,2004-03-25,287.096.415-30,21 6810-8612,15190.89,sim,15/01/2024,diamante,Dolorum molestias id nesciunt asperiores.
6272,Srta. Clarice Vargas,da-matasophia@example.net,1970-08-15,597.861.203-02,(061) 7935 3555,24096.38,não,20/04/2024,prata,
6273,Gabrielly Fogaça,sdas-neves@example.org,1952-04-11,394.206.157-07,(051) 1832 7047,16520.44,False,23/01/2025,prata,Culpa accusantium tempore molestias quam debitis nisi quam quaerat.
6274,Maitê Farias,cgomes@example.org,1999-09-12,950.142.376-06,,,True,01/08/2024,ouro,
6275,Luiz Miguel da Mata,paulo11@example.net,1988-12-23,307.928.146-22,41 3465 9667,14630.17,,08/01/2024,ouro,Libero eius in debitis illum molestias repudiandae.
6276,Caroline Araújo,benjamim76@example.net,1958-08-20,564.803.291-98,,23893.51,não,16/02/2024,ouro,Mollitia ad totam beatae rem harum dolore voluptatum.
6277,Lucca Ribeiro,uda-rosa@example.com,1945-01-23,173.820.465-08,+55 61 2869 8443,20668.4,,05/09/2023,,At odit placeat sequi saepe iste.
6278,Isabela Rocha,aragaojuan@example.net,1949-10-11,024.567.913-80,(071) 6083-7062,20012.32,sim,,ouro,
6279,Lavínia Rezende,ravy26@example.org,1949-06-27,120.895.736-86,,4033.7,sim,,diamante,Temporibus possimus voluptas at hic delectus iure corrupti nostrum.
6280,Ana Luiza Costela,luccaalmeida@example.org,1987-01-09,549.638.712-46,+55 11 8829 5219,9403.31,não,30/12/2024,diamante,Cumque neque nulla illum odit voluptatibus at quisquam excepturi sapiente.
6281,Dra. Emilly Cavalcante,lopessamuel@example.net,1951-04-14,287.169.403-69,(051) 8498-2194,12884.19,True,14/02/2024,ouro,
6282,Elisa da Mata,mendoncaalexia@example.com,1974-09-21,590.284.167-49,61 1022-5025,2157.21,True,01/01/2024,ouro,
6283,Olívia Porto,mendescaroline@example.org,2000-05-09,892.671.054-85,+55 51 5998 2455,13851.69,False,23/10/2023,,
6284,Srta. Amanda Guerra,icardoso@example.net,1951-09-01,532.946.107-34,(071) 5858 7641,22892.49,,02/12/2023,,
6285,Otto Borges,aragaothomas@example.org,2000-10-05,617.309.428-22,+55 (051) 6356-3076,21921.9,,27/03/2025,ouro,
6286,Lorena Castro,iannovaes@example.com,1984-07-14,654.197.230-34,(031) 6605 0062,17678.3,,16/06/2023,bronze,Iusto voluptates nam error nihil voluptas eum architecto.
6287,Vitor Hugo Monteiro,eloahda-conceicao@example.com,1968-09-13,540.392.178-88,+55 (021) 7657-0563,17133.08,sim,04/05/2024,ouro,
6288,Dra. Giovanna Teixeira,calmeida@example.com,1946-05-07,723.614.805-90,+55 71 6869 5537,15857.54,sim,26/05/2024,ouro,Ipsam voluptate expedita ut inventore perspiciatis a ea.
6289,João Pastor,joao-gabriel99@example.net,1957-01-12,621.570.834-80,21 9209 5961,13017.12,sim,18/05/2024,prata,Quam eius iusto cumque necessitatibus eos cum atque eos inventore.
6290,Marina Mendes,marcelo49@example.com,1969-06-03,470.156.283-17,+55 (031) 3133 8647,11153.65,sim,05/09/2024,prata,
6291,Alexandre Pinto,jose-miguel99@example.com,1995-11-29,518.497.603-57,(071) 0174 3801,11790.76,sim,19/12/2023,bronze,Aut inventore adipisci facilis hic iusto voluptates.
6292,Sr. Nathan Costa,evelynabreu@example.net,2002-04-24,00000000000,,21832.38,,14/11/2023,diamante,
6293,Bernardo Ribeiro,levinogueira@example.net,1945-02-16,324.506.197-80,0800 060 1151,6497.07,True,17/04/2024,prata,
6294,Ana Cecília Machado,jaragao@example.org,1951-10-12,657.928.301-77,0900-988-0651,7761.29,False,25/02/2025,,
6295,Ana Cecília Guerra,bentoda-rocha@example.net,1994-10-13,723.965.184-37,11 6637-5354,19910.09,sim,26/10/2023,diamante,
6296,Davi Lucas Vieira,gabriela57@example.org,1982-06-18,407.985.312-23,,4619.56,,13/06/2023,ouro,Nihil facere nam molestias laboriosam repellat totam.
6297,Yago Guerra,sara29@example.org,1997-10-02,00000000000,+55 11 4334-1192,2456.0,,05/12/2024,ouro,
6298,Camila Freitas,dom44@example.com,1976-09-18,827.936.514-19,81 9735 8804,3647.91,False,03/06/2023,ouro,
6299,,henrycamara@example.com,1968-07-27,836.971.405-66,0300-034-4698,15473.52,,20/05/2023,prata,
6300,Dr. Davi Luiz Sales,carlos-eduardoazevedo@example.com,1957-12-15,195.603.728-40,51 2203 8581,23052.82,True,30/01/2024,prata,Similique enim consequatur officia aperiam corporis non optio neque pariatur.
6301,Dra. Camila Carvalho,ycavalcanti@example.org,1992-11-06,582.173.946-28,+55 51 5964 1976,8089.01,,22/11/2024,ouro,Officiis rem aliquam quia enim.
6302,Bruna Moura,maria-juliacamara@example.com,1953-05-23,264.983.107-31,84 1979-4366,7889.43,sim,22/09/2023,prata,Voluptates aperiam labore itaque magnam officiis officiis eaque laudantium ad.
6303,Davi Lucca Lima,kaique27@example.net,1993-01-16,749.351.860-20,+55 (051) 7324 8110,,sim,29/02/2024,bronze,
6304,Yuri Marques,dabreu@example.org,1970-11-08,951.402.387-05,0300-919-3674,9691.45,não,17/07/2023,prata,
6305,Maria Luiza Lopes,raul70@example.com,1977-02-02,034.587.916-39,0500 872 0824,4262.41,sim,12/01/2024,prata,
6306,Francisco Pastor,luizabarbosa@example.org,1983-09-19,960.748.231-03,,23946.15,True,13/02/2025,diamante,Officia autem sint quasi enim ipsa voluptatum vitae.
6307,Arthur Pimenta,mendesluisa@example.com,1976-11-03,643.982.150-42,41 4546 1869,16992.09,não,07/10/2023,prata,
6308,Brenda Mendonça,lmontenegro@example.org,1975-06-12,857.346.290-65,81 6125-0934,9332.54,sim,19/10/2023,prata,Qui sit necessitatibus recusandae nihil unde.
6309,Sra. Sarah Campos,mendesmelissa@example.org,1946-03-17,236.179.045-99,+55 (051) 5378 7298,19483.25,,22/01/2024,,Rem corrupti architecto corrupti deleniti maiores amet odit ullam.
6310,Enzo Gabriel Azevedo,jesuslara@example.net,1952-11-09,834.569.127-73,+55 21 8345-7841,3418.47,True,18/02/2025,,Consectetur consectetur corporis numquam corrupti.
6311,Ana Vitória Guerra,marcelaalbuquerque@example.com,1949-04-20,360.928.174-03,(081) 9844 6485,11369.17,não,30/12/2023,ouro,Rerum accusamus itaque iste corrupti molestias.
6312,Asafe Montenegro,muriloalmeida@example.org,1985-03-03,00000000000,+55 71 7105-6735,6650.97,sim,,diamante,Minima amet totam non praesentium consequatur corrupti architecto impedit.
6313,Dr. Diogo da Mota,salbuquerque@example.com,1988-05-30,630.548.219-51,+55 71 3028 4353,2140.46,não,28/06/2023,ouro,
6314,Sarah Freitas,vasconcelossofia@example.net,1962-03-30,013.586.947-10,,16324.31,sim,24/07/2024,bronze,
6315,Dr. Rael Porto,macedoemilly@example.com,2000-02-20,467.802.391-78,21 1001-1104,12742.73,não,25/12/2024,diamante,Labore ipsum in incidunt aspernatur.
6316,Ana Pimenta,bianca06@example.net,1954-07-03,621.570.938-77,+55 (031) 5566 9438,15327.05,,20/10/2023,,
6317,Maria Clara Rodrigues,lcorreia@example.net,1965-09-02,561.870.394-75,+55 (051) 3247-9772,8727.07,True,29/08/2024,bronze,Velit in omnis commodi sapiente minus fugiat sint alias minima.
6318,Igor Cavalcante,macedogael@example.org,1957-06-02,290.835.716-02,+55 11 7501-6836,3954.14,não,18/01/2024,,
6319,Maitê Mendes,davi51@example.com,1966-08-03,046.829.735-92,71 6769 2473,23223.72,True,,prata,
6320,Thiago das Neves,da-pazana-julia@example.net,1998-05-25,369.851.247-55,0800 205 0741,6260.04,não,13/11/2024,prata,Iusto nostrum aut consequatur totam voluptatem.
6321,Anthony Gabriel Andrade,scostela@example.net,1982-11-14,071.458.369-39,(081) 6764-1801,3448.73,False,04/02/2024,ouro,
6322,Lara Lopes,souzamaria-laura@example.net,1944-07-02,945.620.817-67,+55 (084) 4042 6353,15497.59,True,01/01/2024,diamante,
6323,Sr. Lucas Gabriel Lima,matteo78@example.net,1947-09-07,748.302.516-62,+55 (084) 0074 5916,1545.74,True,16/10/2023,diamante,
6324,Vinicius Andrade,amandaalves@example.net,1995-11-18,328.467.510-80,(011) 9460-9020,18587.25,sim,05/06/2024,bronze,Omnis tenetur vel ratione.
6325,Bruna Sousa,juliasales@example.net,1958-10-29,082.951.763-40,(021) 3471-1309,21689.81,não,,bronze,
6326,Eloá Ferreira,luancardoso@example.org,1966-11-17,058.432.671-80,+55 (031) 6131-1718,15337.46,,,prata,
6327,Laís Macedo,stephanymontenegro@example.org,1998-04-05,430.912.876-96,+55 81 7017-2868,5277.38,True,21/01/2025,ouro,
6328,Matheus Aparecida,correialarissa@example.org,1968-07-17,415.296.803-60,(051) 1724 1409,24591.77,False,31/05/2024,ouro,Dignissimos reprehenderit provident ipsum hic.
6329,Luiza Novaes,amanda62@example.com,1977-07-27,075.196.234-16,(021) 1031-9928,6174.92,,20/12/2023,diamante,
6330,Valentim Pereira,ncastro@example.org,1957-02-24,634.852.179-64,+55 (081) 3964 3263,24590.57,sim,,ouro,
6331,Juan Oliveira,emanuelcavalcanti@example.com,1991-05-14,174.683.029-87,+55 (084) 6692-5218,1638.12,False,04/08/2024,diamante,
6332,Ravi Rodrigues,ana-lizmachado@example.com,1962-12-11,731.865.942-19,21 9903 4420,2314.66,True,01/01/2024,bronze,
6333,Dra. Valentina da Cruz,ana-claracorreia@example.org,1994-04-20,047.952.368-10,+55 (081) 6951 2019,14366.07,sim,19/07/2024,,
6334,Larissa Moraes,freitassabrina@example.org,1964-06-07,842.751.903-60,0900-144-9367,5170.98,True,23/08/2024,ouro,
6335,Alana Campos,barbosamaria-flor@example.net,1995-09-04,423.109.657-07,(011) 2862-0237,1639.7,True,01/07/2023,,
6336,Dr. Enrico Castro,ana-juliaaragao@example.com,1989-08-25,215.346.789-64,0800-288-8086,11003.05,sim,25/01/2025,ouro,
6337,Henry Gabriel Gonçalves,ana-laura85@example.com,1948-03-13,854.691.203-33,0800 712 7573,6401.21,True,,prata,
6338,Juan Sales,vitoriaramos@example.net,1948-02-09,389.762.140-13,(071) 1492-2780,20253.71,não,11/04/2025,prata,
6339,Heitor Costa,rafaelacampos@example.net,1965-02-19,054.786.231-80,31 2238 9508,5803.14,sim,03/08/2023,ouro,Possimus harum ipsa enim error cupiditate ullam.
6340,Sr. Cauã das Neves,ksilva@example.com,1976-06-26,647.390.518-93,(011) 0273-2192,9263.05,False,,bronze,Officia delectus qui iste consequatur.
6341,Kaique Oliveira,aparecidaana-luiza@example.com,1987-06-17,891.650.732-40,+55 31 5555 8746,11929.24,sim,07/05/2024,diamante,
6342,Vinicius Moraes,maria-helena90@example.net,1960-10-09,102.983.576-40,+55 (041) 1620 1061,17131.85,False,13/12/2024,ouro,Totam error quis ab ut optio dignissimos distinctio.
6343,Kevin Rios,matteo61@example.net,1971-03-12,695.078.432-56,31 9526 0209,20316.32,,18/03/2024,,Officiis doloribus quidem natus totam fugiat tempore voluptatem similique aliquid.
6344,Augusto Casa Grande,garciaaylla@example.net,1976-05-27,453.910.826-33,0900 553 6384,2519.94,False,01/03/2025,ouro,
6345,Ágatha Sales,mda-cruz@example.com,1987-09-20,645.309.817-20,+55 21 1103 8353,24488.24,não,17/10/2023,diamante,
6346,Dra. Mariah Mendonça,juanfogaca@example.net,2003-01-22,520.837.461-71,+55 (011) 2373 6409,20356.41,não,,ouro,
6347,Julia Nunes,ana-juliada-costa@example.com,1960-01-04,135.706.428-44,,,não,18/10/2024,,
6348,Lucas Gabriel Pacheco,isabelaalmeida@example.com,1980-05-04,795.014.328-23,+55 (011) 8993-5258,9282.96,False,10/10/2023,,Nesciunt laudantium necessitatibus laboriosam ad.
6349,Lavínia Pimenta,ofogaca@example.org,1990-07-22,632.975.148-09,41 8771 1150,2556.77,True,08/07/2023,bronze,Pariatur occaecati error voluptatibus perspiciatis repellat sequi qui quisquam omnis similique.
6350,Luigi Marques,anna-liz81@example.org,1979-01-15,402.317.586-26,+55 (041) 9385 7359,17217.06,sim,,,
6351,Dr. Vitor Abreu,pedro-lucas93@example.com,1966-02-08,793.654.018-01,,21973.28,sim,04/12/2024,bronze,
6352,João Gabriel Montenegro,nicolasazevedo@example.com,1964-09-25,483.791.502-79,+55 (081) 8513-8778,10391.42,,02/10/2023,ouro,Facere sunt consectetur tempore non hic accusantium.
6353,Sra. Joana Fogaça,castromarcela@example.com,1988-03-17,00000000000,+55 71 2721-9560,8480.84,True,10/01/2024,,
6354,Ísis Jesus,fernandesmathias@example.net,1961-02-15,791.025.836-40,+55 81 9037-6474,19450.16,,16/02/2025,ouro,Voluptas consequatur molestiae assumenda fugit libero exercitationem aperiam porro possimus exercitationem.
6355,Samuel Porto,cda-rocha@example.org,1952-12-29,857.031.942-88,+55 (061) 9582-1713,7699.54,False,20/12/2023,diamante,
6356,Ester Rodrigues,rebecamendonca@example.com,1985-06-03,479.360.815-93,(021) 0313 2396,8998.8,não,05/05/2024,,Atque mollitia animi libero illum quaerat.
6357,Emanuelly Correia,xfonseca@example.com,1992-10-15,00000000000,+55 61 1854-8590,9946.87,True,15/03/2025,bronze,
6358,Aurora Oliveira,camarajulia@example.org,1948-04-11,973.825.406-00,(021) 1354-5319,12757.02,,29/08/2023,diamante,Recusandae exercitationem veniam earum quaerat.
6359,Heitor Fernandes,ana-clara02@example.com,1966-06-19,534.790.286-83,(071) 5673-5359,8715.51,False,27/05/2023,ouro,Amet magni itaque dolore esse mollitia.
6360,Laura Fonseca,arthurpeixoto@example.com,1998-05-30,961.054.273-52,+55 (061) 3296 8676,21018.52,não,08/08/2024,prata,
6361,Maria Pires,aragaoyago@example.org,1979-10-28,529.370.614-43,(011) 1786 1157,23935.1,não,26/11/2024,diamante,
6362,Antony Pastor,larissasantos@example.com,1974-01-13,129.408.376-78,+55 (061) 8287 2250,8746.81,,03/12/2024,bronze,
6363,Ravi Lucca Alves,brunoporto@example.net,1979-01-30,123.094.768-03,0800 015 8898,22519.29,True,02/09/2023,prata,
6364,Sabrina Abreu,ceciliacosta@example.com,1997-01-19,00000000000,21 6268-5733,7903.92,False,14/06/2023,diamante,
6365,Daniela da Luz,emanuella88@example.com,1965-05-22,341.759.206-25,0800 649 1932,5810.08,False,25/12/2023,ouro,
6366,Oliver Nunes,alvesjoao-vitor@example.org,1955-12-08,564.801.932-70,+55 (084) 1743-4425,5539.85,sim,03/06/2023,,
6367,Melina da Costa,lunaguerra@example.org,1968-01-19,846.513.097-39,+55 (051) 6736-7341,19630.49,False,09/10/2023,diamante,
6368,Renan Silva,wpereira@example.org,1987-06-28,591.638.207-30,(021) 0190-3804,22468.7,True,19/05/2023,diamante,Odit officiis accusamus sed quaerat architecto.
6369,Valentina Vargas,leandroramos@example.net,1959-01-27,830.279.546-10,+55 61 9539 9078,18818.46,False,25/01/2024,prata,Culpa aspernatur consectetur qui quam sunt.
6370,Breno Mendes,ribeiroravy@example.org,1950-06-24,728.461.953-82,,2071.96,,10/03/2024,bronze,Assumenda necessitatibus maiores eaque recusandae.
6371,Asafe Jesus,lviana@example.org,1950-12-29,952.047.681-49,+55 41 1980 3490,7712.77,sim,18/12/2024,bronze,Iusto qui veritatis possimus rem excepturi facere a.
6372,Mariane das Neves,kevinmachado@example.net,2004-07-30,316.740.892-87,0500-734-6070,7405.81,True,,ouro,
